description	label	name	permissionFlags	permissionGroup	protectionLevel
Allows the app to send SMS messages. This may result in unexpected charges. Malicious apps may cost you money by sending messages without your confirmation.	send SMS messages	android.permission.SEND_SMS	costsMoney	android.permission-group.MESSAGES	dangerous
Allows the app to send requests to other messaging apps to handle respond-via-message events for incoming calls.	send respond-via-message events	android.permission.SEND_RESPOND_VIA_MESSAGE		android.permission-group.MESSAGES	signature|system
Allows the app to receive and process SMS messages. This means the app could monitor or delete messages sent to your device without showing them to you.	receive text messages (SMS)	android.permission.RECEIVE_SMS		android.permission-group.MESSAGES	dangerous
Allows the app to receive and process MMS messages. This means the app could monitor or delete messages sent to your device without showing them to you.	receive text messages (MMS)	android.permission.RECEIVE_MMS		android.permission-group.MESSAGES	dangerous
Allows the app to receive and process emergency broadcast messages. This permission is only available to system apps.	receive emergency broadcasts	android.permission.RECEIVE_EMERGENCY_BROADCAST		android.permission-group.MESSAGES	signature|system
Allows the app to read cell broadcast messages received by your device. Cell broadcast alerts are delivered in some locations to warn you of emergency situations. Malicious apps may interfere with the performance or operation of your device when an emergency cell broadcast is received.	read cell broadcast messages	android.permission.READ_CELL_BROADCASTS		android.permission-group.MESSAGES	dangerous
Allows the app to read SMS messages stored on your tablet or SIM card. This allows the app to read all SMS messages, regardless of content or confidentiality.	read your text messages (SMS or MMS)	android.permission.READ_SMS		android.permission-group.MESSAGES	dangerous
Allows the app to write to SMS messages stored on your tablet or SIM card. Malicious apps may delete your messages.	edit your text messages (SMS or MMS)	android.permission.WRITE_SMS		android.permission-group.MESSAGES	dangerous
Allows the app to receive and process WAP messages. This permission includes the ability to monitor or delete messages sent to you without showing them to you.	receive text messages (WAP)	android.permission.RECEIVE_WAP_PUSH		android.permission-group.MESSAGES	dangerous
Allows the app to read data about your contacts stored on your tablet, including the frequency with which you\'ve called, emailed, or communicated in other ways with specific individuals. This permission allows apps to save your contact data, and malicious apps may share contact data without your knowledge.	read your contacts	android.permission.READ_CONTACTS		android.permission-group.SOCIAL_INFO	dangerous
Allows the app to modify the data about your contacts stored on your tablet, including the frequency with which you\'ve called, emailed, or communicated in other ways with specific contacts. This permission allows apps to delete contact data.	modify your contacts	android.permission.WRITE_CONTACTS		android.permission-group.SOCIAL_INFO	dangerous
		android.permission.BIND_DIRECTORY_SEARCH		android.permission-group.PERSONAL_INFO	signature|system
Allows the app to read your tablet\'s call log, including data about incoming and outgoing calls. This permission allows apps to save your call log data, and malicious apps may share call log data without your knowledge.	read call log	android.permission.READ_CALL_LOG		android.permission-group.SOCIAL_INFO	dangerous
Allows the app to modify your tablet\'s call log, including data about incoming and outgoing calls. Malicious apps may use this to erase or modify your call log.	write call log	android.permission.WRITE_CALL_LOG		android.permission-group.SOCIAL_INFO	dangerous
Allows the app to access and sync social updates from you and your friends. Be careful when sharing information -- this allows the app to read communications between you and your friends on social networks, regardless of confidentiality. Note: this permission may not be enforced on all social networks.	read your social stream	android.permission.READ_SOCIAL_STREAM		android.permission-group.SOCIAL_INFO	dangerous
Allows the app to display social updates from your friends. Be careful when sharing information -- this allows the app to produce messages that may appear to come from a friend. Note: this permission may not be enforced on all social networks.	write to your social stream	android.permission.WRITE_SOCIAL_STREAM		android.permission-group.SOCIAL_INFO	dangerous
Allows the app to read personal profile information stored on your device, such as your name and contact information. This means the app can identify you and may send your profile information to others.	read your own contact card	android.permission.READ_PROFILE		android.permission-group.PERSONAL_INFO	dangerous
Allows the app to change or add to personal profile information stored on your device, such as your name and contact information. This means the app can identify you and may send your profile information to others.	modify your own contact card	android.permission.WRITE_PROFILE		android.permission-group.PERSONAL_INFO	dangerous
Allows the app to read all calendar events stored on your tablet, including those of friends or co-workers. This may allow the app to share or save your calendar data, regardless of confidentiality or sensitivity.	read calendar events plus confidential information	android.permission.READ_CALENDAR		android.permission-group.PERSONAL_INFO	dangerous
Allows the app to add, remove, change events that you can modify on your tablet, including those of friends or co-workers. This may allow the app to send messages that appear to come from calendar owners, or modify events without the owners\' knowledge.	add or modify calendar events and send email to guests without owners\' knowledge	android.permission.WRITE_CALENDAR		android.permission-group.PERSONAL_INFO	dangerous
Allows the app to read all words, names and phrases that the user may have stored in the user dictionary.	read terms you added to the dictionary	android.permission.READ_USER_DICTIONARY		android.permission-group.USER_DICTIONARY	dangerous
Allows the app to write new words into the user dictionary.	add words to user-defined dictionary	android.permission.WRITE_USER_DICTIONARY		android.permission-group.WRITE_USER_DICTIONARY	normal
Allows the app to read the history of all URLs that the Browser has visited, and all of the Browser\'s bookmarks. Note: this permission may not be enforced by third-party browsers or other applications with web browsing capabilities.	read your Web bookmarks and history	com.android.browser.permission.READ_HISTORY_BOOKMARKS		android.permission-group.BOOKMARKS	dangerous
Allows the app to modify the Browser\'s history or bookmarks stored on your tablet. This may allow the app to erase or modify Browser data. Note: this permission may note be enforced by third-party browsers or other applications with web browsing capabilities.	write web bookmarks and history	com.android.browser.permission.WRITE_HISTORY_BOOKMARKS		android.permission-group.BOOKMARKS	dangerous
Allows the app to set an alarm in an installed alarm clock app. Some alarm clock apps may not implement this feature.	set an alarm	com.android.alarm.permission.SET_ALARM		android.permission-group.DEVICE_ALARMS	normal
Allows the app to add messages to your voicemail inbox.	add voicemail	com.android.voicemail.permission.ADD_VOICEMAIL		android.permission-group.VOICEMAIL	dangerous
Allows the app to get your precise location using the Global Positioning System (GPS) or network location sources such as cell towers and Wi-Fi. These location services must be turned on and available to your device for the app to use them. Apps may use this to determine where you are, and may consume additional battery power.	precise location (GPS and      network-based)	android.permission.ACCESS_FINE_LOCATION		android.permission-group.LOCATION	dangerous
Allows the app to get your approximate location. This location is derived by location services using network location sources such as cell towers and Wi-Fi. These location services must be turned on and available to your device for the app to use them. Apps may use this to determine approximately where you are.	approximate location      (network-based)	android.permission.ACCESS_COARSE_LOCATION		android.permission-group.LOCATION	dangerous
Create mock location sources for testing or install a new location provider. This allows the app to override the location and/or status returned by other location sources such as GPS or location providers.	mock location sources for testing	android.permission.ACCESS_MOCK_LOCATION		android.permission-group.SYSTEM_TOOLS	dangerous
Allows the app to access extra location provider commands. This may allow the app to to interfere with the operation of the GPS or other location sources.	access extra location provider commands	android.permission.ACCESS_LOCATION_EXTRA_COMMANDS		android.permission-group.SYSTEM_TOOLS	normal
Create mock location sources for testing or install a new location provider. This allows the app to override the location and/or status returned by other location sources such as GPS or location providers.	permission to install a location provider	android.permission.INSTALL_LOCATION_PROVIDER			signature|system
		android.permission.LOCATION_HARDWARE		android.permission-group.LOCATION	signature|system
Allows the app to create network sockets and use custom network protocols. The browser and other applications provide means to send data to the internet, so this permission is not required to send data to the internet.	full network access	android.permission.INTERNET		android.permission-group.NETWORK	dangerous
Allows the app to view information about network connections such as which networks exist and are connected.	view network connections	android.permission.ACCESS_NETWORK_STATE		android.permission-group.NETWORK	normal
Allows the app to view information about Wi-Fi networking, such as whether Wi-Fi is enabled and name of connected Wi-Fi devices.	view Wi-Fi connections	android.permission.ACCESS_WIFI_STATE		android.permission-group.NETWORK	normal
Allows the app to connect to and disconnect from Wi-Fi access points and to make changes to device configuration for Wi-Fi networks.	connect and disconnect from Wi-Fi	android.permission.CHANGE_WIFI_STATE		android.permission-group.NETWORK	dangerous
Allows the app to determine whether WiMAX is enabled and information about any WiMAX networks that are connected. 	connect and disconnect from WiMAX	android.permission.ACCESS_WIMAX_STATE		android.permission-group.NETWORK	normal
Allows the app to connect the tablet to and disconnect the tablet from WiMAX networks.	Change WiMAX state	android.permission.CHANGE_WIMAX_STATE		android.permission-group.NETWORK	dangerous
Allows the app to view the configuration of Bluetooth on the tablet, and to make and accept connections with paired devices.	pair with Bluetooth devices	android.permission.BLUETOOTH		android.permission-group.BLUETOOTH_NETWORK	dangerous
Allows the app to configure the local Bluetooth tablet, and to discover and pair with remote devices.	access Bluetooth settings	android.permission.BLUETOOTH_ADMIN		android.permission-group.BLUETOOTH_NETWORK	dangerous
Allows the app to pair with remote devices without user interaction.	allow Bluetooth pairing by Application	android.permission.BLUETOOTH_PRIVILEGED		android.permission-group.BLUETOOTH_NETWORK	system|signature
		android.permission.BLUETOOTH_STACK		android.permission-group.SYSTEM_TOOLS	signature
Allows the app to communicate with Near Field Communication (NFC) tags, cards, and readers.	control Near Field Communication	android.permission.NFC		android.permission-group.NETWORK	dangerous
		android.permission.CONNECTIVITY_INTERNAL		android.permission-group.NETWORK	signature|system
		android.permission.RECEIVE_DATA_ACTIVITY_CHANGE		android.permission-group.NETWORK	signature|system
		android.permission.LOOP_RADIO		android.permission-group.NETWORK	signature|system
Allows the app to get the list of accounts known by the tablet. This may include any accounts created by applications you have installed.	find accounts on the device	android.permission.GET_ACCOUNTS		android.permission-group.ACCOUNTS	normal
Allows the app to use the account authenticator capabilities of the AccountManager, including creating accounts and getting and setting their passwords.	create accounts and set passwords	android.permission.AUTHENTICATE_ACCOUNTS		android.permission-group.ACCOUNTS	dangerous
Allows the app to request authentication tokens.	use accounts on the device	android.permission.USE_CREDENTIALS		android.permission-group.ACCOUNTS	dangerous
Allows the app to perform operations like adding and removing accounts, and deleting their password.	add or remove accounts	android.permission.MANAGE_ACCOUNTS		android.permission-group.ACCOUNTS	dangerous
Allows the app to make calls to AccountAuthenticators.	act as the AccountManagerService	android.permission.ACCOUNT_MANAGER		android.permission-group.ACCOUNTS	signature
Allows the app to receive packets sent to all devices on a Wi-Fi network using multicast addresses, not just your tablet. It uses more power than the non-multicast mode.	allow Wi-Fi Multicast reception	android.permission.CHANGE_WIFI_MULTICAST_STATE		android.permission-group.AFFECTS_BATTERY	dangerous
Allows the app to control the vibrator.	control vibration	android.permission.VIBRATE		android.permission-group.AFFECTS_BATTERY	normal
Allows the app to control the flashlight.	control flashlight	android.permission.FLASHLIGHT		android.permission-group.AFFECTS_BATTERY	normal
Allows the app to prevent the tablet from going to sleep.	prevent tablet from sleeping	android.permission.WAKE_LOCK		android.permission-group.AFFECTS_BATTERY	normal
Allows the app to use the tablet\'s infrared transmitter.	transmit infrared	android.permission.TRANSMIT_IR		android.permission-group.AFFECTS_BATTERY	normal
Allows the app to modify global audio settings such as volume and which speaker is used for output.	change your audio settings	android.permission.MODIFY_AUDIO_SETTINGS		android.permission-group.AUDIO_SETTINGS	normal
Allows the app to manage preferences and permissions for USB devices.	manage preferences and permissions for USB devices	android.permission.MANAGE_USB		android.permission-group.HARDWARE_CONTROLS	signature|system
Allows access to the kernel MTP driver to implement the MTP USB protocol.	implement MTP protocol	android.permission.ACCESS_MTP		android.permission-group.HARDWARE_CONTROLS	signature|system
Allows the app to control various peripherals for the purpose of hardware testing.	test hardware	android.permission.HARDWARE_TEST		android.permission-group.HARDWARE_CONTROLS	signature
		android.permission.NET_ADMIN		android.permission-group.SYSTEM_TOOLS	signature
		android.permission.REMOTE_AUDIO_PLAYBACK		android.permission-group.SYSTEM_TOOLS	signature
Allows the app to record audio with the microphone. This permission allows the app to record audio at any time without your confirmation.	record audio	android.permission.RECORD_AUDIO		android.permission-group.MICROPHONE	dangerous
Allows the app to take pictures and videos with the camera. This permission allows the app to use the camera at any time without your confirmation.	take pictures and videos	android.permission.CAMERA		android.permission-group.CAMERA	dangerous
Allows a pre-installed system application to disable the camera use indicator LED.	disable transmit indicator LED when camera is in use	android.permission.CAMERA_DISABLE_TRANSMIT_LED		android.permission-group.CAMERA	signature|system
Allows the app to process outgoing calls and change the number to be dialed. This permission allows the app to monitor, redirect, or prevent outgoing calls.	reroute outgoing calls	android.permission.PROCESS_OUTGOING_CALLS		android.permission-group.PHONE_CALLS	dangerous
Allows the app to control the phone features of the device. An app with this permission can switch networks, turn the phone radio on and off and the like without ever notifying you.	modify phone state	android.permission.MODIFY_PHONE_STATE		android.permission-group.PHONE_CALLS	signature|system
Allows the app to access the phone features of the device. This permission allows the app to determine the phone number and device IDs, whether a call is active, and the remote number connected by a call.	read phone status and identity	android.permission.READ_PHONE_STATE		android.permission-group.PHONE_CALLS	dangerous
Allows the app to access the precise phone states. This permission allows the app to determine the real call status, whether a call is active or in the background, call fails, precise data connection status and data connection fails.	read precise phone states	android.permission.READ_PRECISE_PHONE_STATE		android.permission-group.PHONE_CALLS	dangerous
		android.permission.READ_PRIVILEGED_PHONE_STATE		android.permission-group.PHONE_CALLS	signature|system
Allows the app to call phone numbers without your intervention. This may result in unexpected charges or calls. Note that this doesn\'t allow the app to call emergency numbers. Malicious apps may cost you money by making calls without your confirmation.	directly call phone numbers	android.permission.CALL_PHONE	costsMoney	android.permission-group.PHONE_CALLS	dangerous
Allows the app to use the SIP service to make/receive Internet calls.	make/receive Internet calls	android.permission.USE_SIP		android.permission-group.PHONE_CALLS	dangerous
Allows the app to control when and how the user sees the in-call screen.	interact with in-call screen	android.permission.BIND_CALL_SERVICE		android.permission-group.PHONE_CALLS	system|signature
Allows the app to read the contents of your USB storage.	read the contents of your USB storage	android.permission.READ_EXTERNAL_STORAGE		android.permission-group.STORAGE	normal
Allows the app to write to the USB storage.	modify or delete the contents of your USB storage	android.permission.WRITE_EXTERNAL_STORAGE		android.permission-group.STORAGE	dangerous
Allows the app to modify the contents of the internal media storage.	modify/delete internal media storage contents	android.permission.WRITE_MEDIA_STORAGE		android.permission-group.STORAGE	signature|system
Allows the app to manage document storage.	manage document storage	android.permission.MANAGE_DOCUMENTS		android.permission-group.STORAGE	signature|system
Allows the app to disable the keylock and any associated password security. For example, the phone disables the keylock when receiving an incoming phone call, then re-enables the keylock when the call is finished.	disable your screen lock	android.permission.DISABLE_KEYGUARD		android.permission-group.SCREENLOCK	dangerous
Allows the app to retrieve information about currently and recently running tasks. This may allow the app to discover information about which applications are used on the device.	retrieve running apps	android.permission.GET_TASKS		android.permission-group.APP_INFO	dangerous
Allows the app to perform actions across different users on the device. Malicious apps may use this to violate the protection between users.	interact across users	android.permission.INTERACT_ACROSS_USERS		android.permission-group.SYSTEM_TOOLS	signature|system|development
Allows all possible interactions across users.	full license to interact across users	android.permission.INTERACT_ACROSS_USERS_FULL		android.permission-group.SYSTEM_TOOLS	signature
Allows apps to manage users on the device, including query, creation and deletion.	manage users	android.permission.MANAGE_USERS		android.permission-group.SYSTEM_TOOLS	signature|system
Allows the app to retrieve detailed information about currently and recently running tasks. Malicious apps may discover private information about other apps.	retrieve details of running apps	android.permission.GET_DETAILED_TASKS		android.permission-group.SYSTEM_TOOLS	signature
Allows the app to move tasks to the foreground and background. The app may do this without your input.	reorder running apps	android.permission.REORDER_TASKS		android.permission-group.APP_INFO	normal
Allows the app to remove tasks and kill their apps. Malicious apps may disrupt the behavior of other apps.	stop running apps	android.permission.REMOVE_TASKS		android.permission-group.APP_INFO	signature
Allows the app to add, remove, and modify the activity stacks in which other apps run. Malicious apps may disrupt the behavior of other apps.	manage activity stacks	android.permission.MANAGE_ACTIVITY_STACKS		android.permission-group.APP_INFO	signature
Allows the app to start any activity, regardless of permission protection or exported state.	start any activity	android.permission.START_ANY_ACTIVITY		android.permission-group.SYSTEM_TOOLS	signature
Allows the app to end background processes of other apps. This may cause other apps to stop running.	close other apps	android.permission.RESTART_PACKAGES		android.permission-group.APP_INFO	normal
Allows the app to end background processes of other apps. This may cause other apps to stop running.	close other apps	android.permission.KILL_BACKGROUND_PROCESSES		android.permission-group.APP_INFO	normal
Allows the app to draw on top of other applications or parts of the user interface. They may interfere with your use of the interface in any application, or change what you think you are seeing in other applications.	draw over other apps	android.permission.SYSTEM_ALERT_WINDOW		android.permission-group.DISPLAY	dangerous
Allows the app to set the system wallpaper.	set wallpaper	android.permission.SET_WALLPAPER		android.permission-group.WALLPAPER	normal
Allows the app to set the system wallpaper size hints.	adjust your wallpaper size	android.permission.SET_WALLPAPER_HINTS		android.permission-group.WALLPAPER	normal
Allows the app to change the tablet\'s clock time.	set time	android.permission.SET_TIME			signature|system
Allows the app to change the tablet\'s time zone.	set time zone	android.permission.SET_TIME_ZONE		android.permission-group.SYSTEM_CLOCK	normal
Allows the app to expand or collapse the status bar.	expand/collapse status bar	android.permission.EXPAND_STATUS_BAR		android.permission-group.STATUS_BAR	normal
Allows an application to add Homescreen shortcuts without user intervention.	install shortcuts	com.android.launcher.permission.INSTALL_SHORTCUT		android.permission-group.SYSTEM_TOOLS	dangerous
Allows the application to remove Homescreen shortcuts without user intervention.	uninstall shortcuts	com.android.launcher.permission.UNINSTALL_SHORTCUT		android.permission-group.SYSTEM_TOOLS	dangerous
Allows the app to read the sync settings for an account. For example, this can determine whether the People app is synced with an account.	read sync settings	android.permission.READ_SYNC_SETTINGS		android.permission-group.SYNC_SETTINGS	normal
Allows an app to modify the sync settings for an account. For example, this can be used to enable sync of the People app with an account.	toggle sync on and off	android.permission.WRITE_SYNC_SETTINGS		android.permission-group.SYNC_SETTINGS	normal
Allows an app to read the sync stats for an account, including the history of sync events and how much data is synced. 	read sync statistics	android.permission.READ_SYNC_STATS		android.permission-group.SYNC_SETTINGS	normal
Allows the app to control the screen compatibility mode of other applications. Malicious applications may break the behavior of other applications.	set screen compatibility	android.permission.SET_SCREEN_COMPATIBILITY		android.permission-group.SYSTEM_TOOLS	signature
Allows the app to access external storage for all users.	access external storage of all users	android.permission.ACCESS_ALL_EXTERNAL_STORAGE		android.permission-group.DEVELOPMENT_TOOLS	signature
